Customer_ID,Age,Gender,Annual_Income,Loan_Amount,Credit_Score,Late_Payments,Loan_Term,Interest_Rate,Loan_Type,Default
1623a5e1-819e-4e72-bd64-d8158c377f16,56,Male,61115,37735,739,7,12,21.49,Mortgage,0
644c27b4-82a9-4b41-819e-e958a041cf1f,69,Male,130084,8423,648,8,24,11.51,Mortgage,0
e51bb10e-a5c4-46d4-928c-ddb14e297b02,46,Female,116887,40218,711,9,36,13.29,Mortgage,0
f949623d-f8a6-4113-ae1c-d8110b7a9b8d,32,Female,103732,13213,827,9,24,18.52,Personal,0
c02f2154-fb1c-42f9-a432-992541a45408,60,Male,132145,36983,609,1,36,4.96,Auto,0
cdf8a580-10b2-4f92-ad5f-c242552e7e23,25,Female,99790,34158,695,3,60,11.79,Auto,0
4dc7b62a-edab-4c5c-ba0e-8d166b194c74,38,Female,99557,29460,637,7,48,9.86,Personal,0
39ad51a3-1ba7-4013-853d-3b352e4a43a0,56,Female,131672,32017,736,1,48,3.87,Mortgage,0
085824bb-6060-4b0d-8c06-b61b6f0b3ef1,36,Female,91260,34000,664,3,12,7.71,Auto,0
b0e28c37-e996-473a-8598-9656ed87bbc3,40,Male,48690,27502,412,9,60,12.01,Education,0
a2157235-2425-4b28-a1c6-cb6ca759b785,28,Male,21407,31990,475,0,60,7.74,Personal,0
7bcca31b-2789-4fc3-b751-7b29ebd9aa3f,28,Male,93568,20515,448,1,36,16.45,Personal,0
5c2be7ca-99f9-4ad9-a2e5-81aa698e5b0c,41,Female,78560,30991,477,6,60,13.15,Education,0
0e956364-ab7b-406d-9e40-6df58bd480f7,70,Female,67340,8634,681,0,12,4.35,Mortgage,0
74c50cca-62ec-4f6a-a80f-b764c607ec0d,53,Female,37794,12498,522,0,36,9.41,Mortgage,0
3cee0e15-b16b-4905-bd8a-d612f339cead,57,Female,39881,11916,558,1,24,3.92,Auto,0
07da6a7b-925f-47ad-a1c4-0cf194b6cd72,41,Female,106292,30377,488,3,36,11.2,Education,0
d6d39cd8-b0fe-4cbb-861e-c10c0f224115,20,Male,125698,34001,605,6,24,9.07,Auto,0
265f518a-d2c5-46c6-82c8-b83fe54f4f35,39,Female,114952,2391,677,3,36,18.3,Mortgage,0
9c2a350f-dc6f-4a75-8029-6f401fac1815,70,Female,69703,44852,642,4,48,10.11,Auto,0
af122c73-d599-4cae-91c0-c0c7141c214e,19,Male,64354,43215,455,3,24,11.57,Education,0
1d7d93bb-cd01-4c58-bb4a-55a98d830a2c,41,Female,111288,15184,354,3,12,19.09,Education,0
dc0dd1fc-9d9b-41ba-9235-5266533de1c3,61,Male,98462,28114,741,8,24,13.84,Education,0
66ee08cb-1504-4ca1-b3bf-f4eabc5e5a62,47,Male,139020,12882,499,5,24,15.46,Mortgage,0
2f930867-a22e-40ba-9ab4-b0c9e42f7e92,55,Male,119301,48606,702,2,36,21.59,Personal,0
